"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","TypographyStyles__StyledTypography-sc-ro16eu-0","CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-28"
"(HCM) HOA NGÂN TUYỂN DỤNG - KẾ TOÁN NỘI BỘ","https://glints.com/vn/opportunities/jobs/hcm-hoa-ngan-tuyen-dung-ke-toan-noi-bo/dbe303a6-c90f-473d-ba2f-0e77c89d1411?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-12 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Zahir Software","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d7c4d8f1b2a19acb0174aa220043c542.png","Công Ty TNHH SXTM Mỹ Phẩm Minh Đức","https://glints.com/vn/companies/cong-ty-tnhh-sxtm-my-pham-minh-duc/d5f0d6b6-3fbd-44da-9f97-38a5a9fc35c8","Quận Mười Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","29 ngày trước",""
"HOA NGÂN TUYỂN DUNG-Nhân Viên Kế Toán Nội Bộ ̣(Nữ)","https://glints.com/vn/opportunities/jobs/hoa-ngan-tuyen-dung-nhan-vien-ke-toan-noi-bo-nu/e9390585-f066-47d2-b773-74db6124abd3?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-12 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Accounts Payable","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d7c4d8f1b2a19acb0174aa220043c542.png","Công Ty TNHH SXTM Mỹ Phẩm Minh Đức","https://glints.com/vn/companies/cong-ty-tnhh-sxtm-my-pham-minh-duc/d5f0d6b6-3fbd-44da-9f97-38a5a9fc35c8","Quận Mười Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","29 ngày trước",""
"HOA NGAN TUYỂN DỤNG - (NỮ) NHÂN VIÊN KẾ TOÁN NỘI BỘ","https://glints.com/vn/opportunities/jobs/hoa-ngan-tuyen-dung-nu-nhan-vien-ke-toan-noi-bo/3a18e552-e86d-4060-acab-ed4b6ecaa4b4?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-12 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Financial Analysis","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d7c4d8f1b2a19acb0174aa220043c542.png","Công Ty TNHH SXTM Mỹ Phẩm Minh Đức","https://glints.com/vn/companies/cong-ty-tnhh-sxtm-my-pham-minh-duc/d5f0d6b6-3fbd-44da-9f97-38a5a9fc35c8","Quận Mười Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","29 ngày trước",""
"(NỮ) (HCM) NHÂN VIÊN KẾ TOÁN NỘI BỘ","https://glints.com/vn/opportunities/jobs/nu-hcm-nhan-vien-ke-toan-noi-bo/b40e0ad9-291a-4aba-9d45-9ef5b648bb48?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-12 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Bookkeeping","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d7c4d8f1b2a19acb0174aa220043c542.png","Công Ty TNHH SXTM Mỹ Phẩm Minh Đức","https://glints.com/vn/companies/cong-ty-tnhh-sxtm-my-pham-minh-duc/d5f0d6b6-3fbd-44da-9f97-38a5a9fc35c8","Quận Mười Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","29 ngày trước",""
"Chuyên Viên Kế Toán Tổng Hợp (Nữ)","https://glints.com/vn/opportunities/jobs/chuyen-vien-ke-toan-tong-hop-nu/e7db8d16-eed8-4e8c-a354-9821b76eaacd?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 13-18 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Financial Analysis","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d7c4d8f1b2a19acb0174aa220043c542.png","Công Ty TNHH SXTM Mỹ Phẩm Minh Đức","https://glints.com/vn/companies/cong-ty-tnhh-sxtm-my-pham-minh-duc/d5f0d6b6-3fbd-44da-9f97-38a5a9fc35c8","Hóc Môn","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/hoc-mon","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","29 ngày trước",""
"Junior Accountant","https://glints.com/vn/opportunities/jobs/junior-accountant/08c808c3-cfb9-464e-9cfe-d07771bb7251?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 15-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Bằng Liên Kết","Microsoft Excel","+9","https://glints.com/images/default-company-logo.webp","CÔNG TY TNHH CÔNG NGHỆ TRUNG SƠN","https://glints.com/vn/companies/cong-ty-tnhh-cong-nghe-trung-son/52d0077a-d7fd-479f-8aa4-465655faa9bb","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","29 ngày trước",""
"Project Manager","https://glints.com/vn/opportunities/jobs/project-manager/159b3b65-3637-45fd-bad1-2b009e52c13b?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","Project Coordination","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/5f4473dd77fc2572f97887baa4700fbf.jpg","Unit Technology Corporation","https://glints.com/vn/companies/unit-technology-corporation/4642cf46-b877-43c5-baf7-539d7e640156","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","1 tháng trước","Không công khai"
"Scrum Master","https://glints.com/vn/opportunities/jobs/scrum-master/d7eb34cc-5d8a-4744-be1f-e195cabca2a0?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 20-30 Tr","Làm từ xa","Việc làm fulltime","1 – 3 năm","Tối thiểu Bằng Liên Kết","+9","https://glints.com/images/default-company-logo.webp","CÔNG TY TNHH CÔNG NGHỆ TRUNG SƠN","https://glints.com/vn/companies/cong-ty-tnhh-cong-nghe-trung-son/52d0077a-d7fd-479f-8aa4-465655faa9bb","Đông Anh","https://glints.com/vn/job-location/vietnam/ha-noi/dong-anh","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","13 ngày trước",""
"Process Quality Assurance","https://glints.com/vn/opportunities/jobs/process-quality-assurance/a4d1f06d-5bd7-4ec8-acd9-08049b31a930?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-16 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","Internal Audit","Iso 27000","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dd0b3ac359134639c75766fa6a6c72a2.jpg","SotaTek","https://glints.com/vn/companies/sotatek/48c0bb86-7c5d-4391-8af0-fdc032279471","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","19 ngày trước",""
"Project Coordinator (English required)","https://glints.com/vn/opportunities/jobs/project-coordinator-english-required/817f8096-83dc-4e94-888a-64bd536a9930?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 15-25 Tr","Làm từ xa","Việc làm fulltime","1 – 3 năm","Tối thiểu Bằng Liên Kết","+7","https://glints.com/images/default-company-logo.webp","CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM GS INDUSTRY","https://glints.com/vn/companies/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-viet-nam-gs-industry/1307feb1-fca6-45b7-b8df-87e18baa524e","Đông Anh","https://glints.com/vn/job-location/vietnam/ha-noi/dong-anh","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","20 ngày trước",""
"Nhân Viên Hành Chính (Admin Officer)","https://glints.com/vn/opportunities/jobs/nhan-vien-hanh-chinh-admin-officer/e2f6aab8-4124-4c48-8dcc-2e5e20d3eee5?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-12 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","Microsoft Office","Organizational Skills","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a5c44200ad4791ba94cc250faf11c686.png","Bss Group","https://glints.com/vn/companies/bss-group/c430e2c8-068c-46c5-bfea-4f8e5c774b31","Quận Nam Từ Liêm","https://glints.com/vn/job-location/vietnam/ha-noi/quan-nam-tu-liem","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","6 ngày trước",""
"Digital Marketing Lead | ITO","https://glints.com/vn/opportunities/jobs/digital-marketing-lead-ito/885d72ed-27a5-4792-9b9c-038d54f78729?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","","Việc làm fulltime","5 – 10 năm","Tối thiểu Cao Đẳng","Digital Marketing","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/79d0b8eff97a01a8c6016707f63ba4bc.jpg","Công ty Cổ phần Innotech Việt Nam","https://glints.com/vn/companies/cong-ty-co-phan-innotech-viet-nam/e3383bb7-7242-4a62-a553-4a74991daf55","Dĩ An","https://glints.com/vn/job-location/vietnam/binh-duong/di-an","Bình Dương","https://glints.com/vn/job-location/vietnam/binh-duong","20 ngày trước","Không công khai"
"Scrum Master (Non English speaker)","https://glints.com/vn/opportunities/jobs/scrum-master-non-english-speaker/f3e8db7c-e18b-46b3-8546-1d62719eb79b?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 20-25 Tr","Hybrid","Việc làm fulltime","1 – 3 năm","Tối thiểu Bằng Liên Kết","+9","https://glints.com/images/default-company-logo.webp","CÔNG TY TNHH CÔNG NGHỆ TRUNG SƠN","https://glints.com/vn/companies/cong-ty-tnhh-cong-nghe-trung-son/52d0077a-d7fd-479f-8aa4-465655faa9bb","Thanh Khê","https://glints.com/vn/job-location/vietnam/da-nang/thanh-khe","Đà Nẵng","https://glints.com/vn/job-location/vietnam/da-nang","17 ngày trước",""
"Japanese Business Development","https://glints.com/vn/opportunities/jobs/japanese-business-development/3dfcda4c-6bf4-412a-bc0e-6b94c53dac26?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 12-25 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Business Development","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dd0b3ac359134639c75766fa6a6c72a2.jpg","SotaTek","https://glints.com/vn/companies/sotatek/48c0bb86-7c5d-4391-8af0-fdc032279471","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","30 ngày trước",""
"Intern Prompt Engineer","https://glints.com/vn/opportunities/jobs/intern-prompt-engineer/d284c014-ebb7-49f0-84ba-ceb65c796a9f?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","","Việc làm fulltime","Tối thiểu Cử Nhân","Back-End Web Development","Node.js","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/79d0b8eff97a01a8c6016707f63ba4bc.jpg","Công ty Cổ phần Innotech Việt Nam","https://glints.com/vn/companies/cong-ty-co-phan-innotech-viet-nam/e3383bb7-7242-4a62-a553-4a74991daf55","Dĩ An","https://glints.com/vn/job-location/vietnam/binh-duong/di-an","Bình Dương","https://glints.com/vn/job-location/vietnam/binh-duong","4 ngày trước","Không công khai"
"Fullstack Engineer (with basic AI skills)","https://glints.com/vn/opportunities/jobs/fullstack-engineer-with-basic-ai-skills/f6307d4b-d4e3-40bd-8e1d-67950c7d0898?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Restful API","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/439c1bd9edc617fbfc96dc3d56212a80.jpg","Panasonic Việt Nam","https://glints.com/vn/companies/panasonic-viet-nam/a3d594a0-baaa-44e7-b028-566b0ad79b9a","Quận Ba Đình","https://glints.com/vn/job-location/vietnam/ha-noi/quan-ba-dinh","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","18 ngày trước","Không công khai"
"[HN] AI ENGINEER / NLP ENGINEER (SALARY UP TO 40 MIL GROSS)","https://glints.com/vn/opportunities/jobs/hn-ai-engineer-nlp-engineer-salary-up-to-40-mil-gross/1de8d85c-58d7-4aa7-88fb-bc24789e27e5?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 40-44 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","PyTorch","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/cd97367272d91a291f7fd1bb391f4988.png","Công ty Cổ phần Công nghệ Prep","https://glints.com/vn/companies/cong-ty-co-phan-cong-nghe-prep/c938e13a-a520-43a5-a4c9-01cc4c251399","Quận Đống Đa","https://glints.com/vn/job-location/vietnam/ha-noi/quan-dong-da","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","5 ngày trước",""
"Lập Trình Backend (.NET)","https://glints.com/vn/opportunities/jobs/lap-trinh-backend-net/a69585f0-c0d4-41e5-9fc5-710360c30d4f?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 20-30 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","MongoDB","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dbc603d11aaec62b3a28842ccd5460ab.jpg","CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC VƯƠNG","https://glints.com/vn/companies/cong-ty-co-phan-thuong-mai-duoc-vuong/ce94d06e-8559-4789-9aeb-e6f3e44dd00d","Hoài Đức","https://glints.com/vn/job-location/vietnam/ha-noi/hoai-duc","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","13 ngày trước",""
"Prompt Engineer Intern  (No-code/Low-code)","https://glints.com/vn/opportunities/jobs/prompt-engineer-intern-no-code-low-code/76defe02-d92f-4dff-81d3-08abb7911315?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 2-3 Tr","Việc làm fulltime","Tối thiểu Cao Đẳng","Next.Js","Node.js","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/79d0b8eff97a01a8c6016707f63ba4bc.jpg","Công ty Cổ phần Innotech Việt Nam","https://glints.com/vn/companies/cong-ty-co-phan-innotech-viet-nam/e3383bb7-7242-4a62-a553-4a74991daf55","Dĩ An","https://glints.com/vn/job-location/vietnam/binh-duong/di-an","Bình Dương","https://glints.com/vn/job-location/vietnam/binh-duong","10 ngày trước",""
"Nhân viên kiểm thử hiệu năng performance test","https://glints.com/vn/opportunities/jobs/nhan-vien-kiem-thu-hieu-nang-performance-test/443a92f7-7b7a-4fc2-b6cd-c153a6e3191a?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 15-25 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","Prometheus, Grafana, Elasticsearch.","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/7f58a062a7e82cd68be25e031e0ca856.png","Công ty cổ phần phần mềm ITSOL Holdings","https://glints.com/vn/companies/cong-ty-co-phan-phan-mem-itsol-holdings/b432d982-d4e2-4e77-a3d4-5649bf1addd9","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","19 ngày trước",""
"Solution Architect","https://glints.com/vn/opportunities/jobs/solution-architect/9feeeb45-5e38-4285-afec-8b6828032c1e?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 27-50 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Microsoft Office","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/4ea0c5265faab6dc0e68ec3f43f8d001.jpeg","Viettel Cyber Security","https://glints.com/vn/companies/viettel-cyber-security/7d4ed919-9af9-44a8-8645-86fc53d048fd","Quận Nam Từ Liêm","https://glints.com/vn/job-location/vietnam/ha-noi/quan-nam-tu-liem","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","5 ngày trước",""
"Chuyên viên tuyển dụng (Junior – Middle)","https://glints.com/vn/opportunities/jobs/chuyen-vien-tuyen-dung-junior-middle/35e04d8f-be54-4a38-8b39-753df7006677?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 9-17 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","Strategic Planning","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/1fca9b8a1003bd5ece464ea31ab06853.jpg","Công ty Cổ phần Công nghệ VWORKS Việt Nam","https://glints.com/vn/companies/cong-ty-co-phan-cong-nghe-vworks-viet-nam/8106ae52-2034-49a2-a92c-31c92113fe00","Quận Thanh Xuân","https://glints.com/vn/job-location/vietnam/ha-noi/quan-thanh-xuan","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","21 ngày trước",""
"Chuyên Viên Phát Triển Dự Án (DEV)","https://glints.com/vn/opportunities/jobs/chuyen-vien-phat-trien-du-an-dev/d6ee6515-d7e0-4387-a389-614bfe7bf752?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 13-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Excel/vba","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/caa2fddb12c2365aeebcd0cec1a1dc1f.png","AN PHÁT HOLDINGS","https://glints.com/vn/companies/an-phat-holdings/4472cc9a-bb84-46a7-9e22-86fd8b0a1302","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","23 ngày trước",""
"Fresher/ Junior AI Engineer","https://glints.com/vn/opportunities/jobs/fresher-junior-ai-engineer/a01904e3-1bd9-4a80-91f7-1b48eb2cb8c3?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 8-20 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","Artificial Intelligence","Python","+1","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/9bb724006551478fea5af2fa76658a60.png","Công ty TNHH Công nghệ và Thương mại Lifesup","https://glints.com/vn/companies/cong-ty-tnhh-cong-nghe-va-thuong-mai-lifesup/aa235d09-f4d6-4f97-be47-3e17913a0572","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","13 ngày trước",""
"Agile Coordinator","https://glints.com/vn/opportunities/jobs/agile-coordinator/dfc6fcad-8f46-4194-9103-ac58d1d6846b?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 20-25 Tr","Hybrid","Việc làm fulltime","3 – 5 năm","Tối thiểu Bằng Liên Kết","+9","https://glints.com/images/default-company-logo.webp","CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM GS INDUSTRY","https://glints.com/vn/companies/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-viet-nam-gs-industry/1307feb1-fca6-45b7-b8df-87e18baa524e","Đông Anh","https://glints.com/vn/job-location/vietnam/ha-noi/dong-anh","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","26 ngày trước",""
"Scrum Master (English required)","https://glints.com/vn/opportunities/jobs/scrum-master-english-required/25862b6b-8ed3-46d0-a739-db3c3a7cd3a3?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 30-40 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Bằng Liên Kết","Agile Project Management","+8","https://glints.com/images/default-company-logo.webp","CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM GS INDUSTRY","https://glints.com/vn/companies/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-viet-nam-gs-industry/1307feb1-fca6-45b7-b8df-87e18baa524e","Sơn Trà","https://glints.com/vn/job-location/vietnam/da-nang/son-tra","Đà Nẵng","https://glints.com/vn/job-location/vietnam/da-nang","26 ngày trước",""
"Technical Assistant","https://glints.com/vn/opportunities/jobs/technical-assistant/fa477da2-899d-4218-b7e4-df3f90a7e053?utm_referrer=explore&traceInfo=e3c9ec30cd65cc98ed087be51ae449b0","₫ 11-13 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Trung Học Phổ Thông","Technical Decisions","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/f58a1e869836c94560ef9dc565dde515.jpeg","NHÀ HÀNG ESCO BEACH","https://glints.com/vn/companies/nha-hang-esco-beach/aa31fe9d-c6a3-44a8-b4d9-78670d23ac59","Sơn Trà","https://glints.com/vn/job-location/vietnam/da-nang/son-tra","Đà Nẵng","https://glints.com/vn/job-location/vietnam/da-nang","27 ngày trước",""
"Business Development (Korean)","https://glints.com/vn/opportunities/jobs/business-development-korean/3aed7a7b-2ec6-4628-a4b9-95f1603d2e2b?utm_referrer=explore&traceInfo=13748005078357b4293161645b0f3742","₫ 15-30 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Korean Language","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/1e245ff931e2b20784bc188a5881864b.jpg","Công ty Cổ Phần SotaTek","https://glints.com/vn/companies/cong-ty-co-phan-sotatek/f614e2df-65c2-427d-8499-915f45d639c9","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","5 ngày trước",""
"Quality Assurance Tester","https://glints.com/vn/opportunities/jobs/quality-assurance-tester/c5668820-1817-4f27-9abb-5cba246cade3?utm_referrer=explore&traceInfo=13748005078357b4293161645b0f3742","₫ 12-14 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","QA Automation","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/becafc1cf64c6413f15e2f79075817a8.png","Công ty Cổ phần Công nghệ Oryza Systems","https://glints.com/vn/companies/cong-ty-co-phan-cong-nghe-oryza-systems/07753c09-15f0-4e3e-97b7-c44bba958b0b","Thuận An","https://glints.com/vn/job-location/vietnam/binh-duong/thuan-an","Bình Dương","https://glints.com/vn/job-location/vietnam/binh-duong","10 ngày trước",""
"NHÂN VIÊN PHÒNG DỮ LIỆU - TIẾNG NHẬT","https://glints.com/vn/opportunities/jobs/nhan-vien-phong-du-lieu-tieng-nhat/0cd2bc3b-31a7-41d7-815b-bfbc12c9370d?utm_referrer=explore&traceInfo=13748005078357b4293161645b0f3742","₫ 10-14 Tr","Việc làm fulltime","Tối thiểu Cao Đẳng","Microsoft Office","Microsoft Excel","+1","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a24738a0100c240aedbe960eefd4c4ed.png","CÔNG TY CP KẾT NỐI NHÂN LỰC WORKLINK VIỆT NAM","https://glints.com/vn/companies/cong-ty-cp-ket-noi-nhan-luc-worklink-viet-nam/1802aeef-2140-4b85-8ba3-924c0fa356dd","Long Thành","https://glints.com/vn/job-location/vietnam/dong-nai/long-thanh","Đồng Nai","https://glints.com/vn/job-location/vietnam/dong-nai","24 ngày trước",""
"Sales ERP","https://glints.com/vn/opportunities/jobs/sales-erp/5e2ffa5e-fde4-4ec0-bf8a-7f7ccc6fca04?utm_referrer=explore&traceInfo=13748005078357b4293161645b0f3742","₫ 12-22 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Communication Skills","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dd0b3ac359134639c75766fa6a6c72a2.jpg","SotaTek","https://glints.com/vn/companies/sotatek/48c0bb86-7c5d-4391-8af0-fdc032279471","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","14 ngày trước",""
