"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/senior-graphic-designer-26728251808.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/18814-200x200.jpg?v=1764580246","Senior Graphic Designer","Công ty TNHH Chin Media","Thỏa thuận","Hồ Chí Minh","Full-time","3 - 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/brand-communication-proposal-strategy-event-account-management--binh-thanh-hcm--id-28088-26729202338.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","Brand Communication (Proposal Strategy / Event & Account Management)- Bình Thạnh, HCM- ID 28088","Công Ty TNHH Reeracoen Việt Nam","25 - 40 triệu VNĐ","Hồ Chí Minh","Full-time","3 - 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/truong-nhom-kinh-doanh-team-leader-26729283812.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/483631-200x200.jpg?v=1776646894","TRƯỞNG NHÓM KINH DOANH (TEAM LEADER)","Công Ty TNHH Lt Investment & Valuation","10 - 20 triệu VNĐ","Toàn quốc","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-phan-tich-nghiep-vu-business-analyst-26730763923.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/299902-200x200.jpg?v=1746496016","Nhân Viên Phân Tích Nghiệp Vụ - Business Analyst","Chi Nhánh Công Ty Cổ Phần Tư Vấn Quản Trị Doanh Nghiệp Tinh Vân Tại Thành phố Hồ Chí Minh","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 3 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-tu-van-dich-vu-vien-thong-telecom-quan-doi-yeu-cau-kinh-nghiem-g8-26746746406.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/161-200x200.jpg?v=1712119679","Nhân Viên Tư Vấn Dịch Vụ Viễn Thông Telecom Quân Đội Yêu Cầu Kinh Nghiệm G8","Bellsystem24 VietNam","8 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/cong-tac-vien-kinh-doanh-phan-mem-freelance-sales-software-thu-nhap-khong-gioi-han-26751064528.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486504-200x200.jpg?v=1777437982","Cộng Tác Viên Kinh Doanh Phần Mềm - (Freelance Sales Software) Thu Nhập Không Giới Hạn","Công Ty Cổ Phần Lot","Thỏa thuận","Hồ Chí Minh","Part-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-sales-phan-mem-doanh-nghiep-b2b-luong-hoa-hong-hap-dan-26752205164.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486504-200x200.jpg?v=1777437982","Nhân Viên Sales Phần Mềm Doanh Nghiệp – B2B | Lương + Hoa Hồng Hấp Dẫn","Công Ty Cổ Phần Lot","15 - 100 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/sale-phan-mem-kiotviet-thu-nhap-2050-trieu-thang-tai-tan-binh-25650323630.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/296-200x200.jpg?v=1753244017","Sale Phần Mềm Kiotviet – Thu Nhập 20–50 Triệu/Tháng Tại Tân Bình","Công Ty Cổ Phần Công Nghệ Kiotviet","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","17 phút trước"
"https://jobsgo.vn/viec-lam/maintenance-team-leader--binh-tan-hcm--id-28020-26523629857.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","MAINTENANCE TEAM LEADER- BÌNH TÂN, HCM- ID 28020","Công Ty TNHH Reeracoen Việt Nam","18 - 20 triệu VNĐ","Hồ Chí Minh","Full-time","4 - 5 năm","17 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-software-sales-executive-thu-nhap-trung-binh-tu-15-trieu-an-khanh-quan-2-cu-26653078464.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Nhân Viên Kinh Doanh Phần Mềm (Software Sales Executive) - Thu Nhập Trung Bình Từ 15 Triệu - An Khánh, Quận 2 (Cũ)","JobsGO Recruit","Từ 15 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","17 phút trước"
